month,name,age,description,image,link
1,Peter Bogdanovich,82,"Realizador\, actor\, encenador, crítico jornalista e historiador",https://imagens.publico.pt/imagens.aspx/1655937?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2022/01/06/culturaipsilon/noticia/morreu-realizador-peter-bogdanovich-1991003
1,Sidney Poitier,94,O primeiro homem negro a ganhar um Óscar de Melhor Actor,https://imagens.publico.pt/imagens.aspx/1656262?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2022/01/07/culturaipsilon/noticia/morreu-sidney-poitier-ultimos-actores-velha-hollywood-1991111
1,Tania Achot,85,Pianista com um papel marcante no ensino do piano em Portugal,https://imagens.publico.pt/imagens.aspx/1656192?tp=UH&db=IMAGENS&type=JFIF&w=500&act=resize,https://www.publico.pt/2022/01/07/culturaipsilon/noticia/morreu-pianista-tania-achot-pedagoga-influenciou-varias-geracoes-1991118
1,Lourdes Castro,91,A artista que nos deu a luz que existe nas sombras,https://imagens.publico.pt/imagens.aspx/1656486?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2022/01/08/culturaipsilon/noticia/lourdes-castro-deunos-luz-existe-sombras-1991205
1,Françoise Nuñez,64,A fotógrafa que se alimentava da viagem,https://imagens.publico.pt/imagens.aspx/1656316?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2022/01/09/culturaipsilon/noticia/francoise-nunez-19572021-fotografa-alimentava-viagem-1990982
1,Bob Saget,65,Comediante conhecido pelo seu papel em Full House,https://imagens.publico.pt/imagens.aspx/1656710?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2022/01/10/culturaipsilon/noticia/morreu-bob-saget-comediante-pai-familia-1991313
1,Maria Ewing,71,Cantora lírica notabilizou-se nos papéis de Carmen e Salomé,https://imagens.publico.pt/imagens.aspx/1657270?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2022/01/11/culturaipsilon/noticia/morreu-cantora-lirica-maria-ewing-1991545
1,Ronnie Spector,78,"Voz das Ronettes, rainha rebelde dos girl groups",https://imagens.publico.pt/imagens.aspx/1657810?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2022/01/13/culturaipsilon/noticia/morreu-ronnie-spector-voz-ronettes-rainha-rebelde-girl-groups-1991750
1,Jean-Jacques Beineix,75,Realizador de <em>Betty Blue</em> e <em>A Diva e os Gangsters</em>,https://imagens.publico.pt/imagens.aspx/1658303?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2022/01/14/culturaipsilon/noticia/morreu-jeanjacques-beineix-realizador-betty-blue-diva-gangsters-1991945
1,Ricardo Bofill,82,Aarquitecto-estrela da escola pós-modernista,https://imagens.publico.pt/imagens.aspx/1658363?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2022/01/14/culturaipsilon/noticia/morreu-ricardo-bofill-posmoderno-sabia-arquitectura-nao-salva-mundo-1991934
1,Thiago de Mello,95,Autor de um dos mais conhecidos poemas brasileiros,https://imagens.publico.pt/imagens.aspx/1658370?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2022/01/14/culturaipsilon/noticia/thiago-mello-19262022-poeta-amazonia-decretou-estatutos-homem-1991952
1,Fernando de Albuquerque,80,Responsável da Fundação Casa de Mateus,https://imagens.publico.pt/imagens.aspx/1658415?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2022/01/14/culturaipsilon/noticia/fernando-albuquerque-responsavel-fundacao-casa-mateus-morre-80-anos-1991940
1,Armando Gama,67,A voz de <em>Esta balada que te dou</em>,https://imagens.publico.pt/imagens.aspx/1658790?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2022/01/17/culturaipsilon/noticia/morreu-armando-gama-voz-balada-dou-1992111
1,Nino Cerruti,91,"Designer italiano, pai do <em>casual chic</em>",https://imagens.publico.pt/imagens.aspx/1658857?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2022/01/17/impar/noticia/morreu-nino-cerruti-pai-casual-chic-descobriu-talentos-giorgio-armani-1992139
1,André Leon Talley,73,Primeiro director criativo negro da <em>Vogue</em>,https://imagens.publico.pt/imagens.aspx/1659444?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2022/01/19/impar/noticia/morreu-andre-leon-talley-braco-direito-anna-wintour-vogue-consultor-obama-1992377
1,Gaspard Ulliel,37,Actor francês que encarnou Yves Saint-Laurent,https://imagens.publico.pt/imagens.aspx/1659631?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2022/01/19/culturaipsilon/noticia/37-anos-morreu-actor-frances-gaspard-ulliel-1992420
1,Elza Soares,91,"Rainha insubmissa, ícone do Brasil, voz de liberdade",https://imagens.publico.pt/imagens.aspx/1660187?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2022/01/20/culturaipsilon/noticia/morreu-cantora-elza-soares-icone-musica-brasileira-1992609
1,Meat Loaf,74,Músico que marcou o imaginário do rock americano,https://imagens.publico.pt/imagens.aspx/1660300?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2022/01/21/culturaipsilon/noticia/morreu-meat-loaf-musico-marcou-imaginario-rock-americano-1992634
1,Robert Durst,78,O milionário assassino que fascinava a América,https://imagens.publico.pt/imagens.aspx/1659934?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2022/01/23/sociedade/noticia/robert-durst-19432022-milionario-assassino-fascinava-america-1992303
1,Don Wilson,88,Guitarrista que deu ritmo ao surf-rock dos The Ventures,https://imagens.publico.pt/imagens.aspx/1661006?tp=UH&db=IMAGENS&type=PNG&w=500&act=resize,https://www.publico.pt/2022/01/23/culturaipsilon/noticia/morreu-don-wilson-guitarrista-deu-ritmo-surfrock-the-ventures-1992865
1,Manuel Francisco Ribeiro,86,O rosto da tragédia dos incêndios de 2017,https://imagens.publico.pt/imagens.aspx/1663141?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2022/01/29/sociedade/noticia/manuel-francisco-ribeiro-19352022-rosto-tragedia-incendios-2017-1993201
1,Júlio Conrado,85,Escritor e crítico literário,https://imagens.publico.pt/imagens.aspx/1663332?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2022/01/30/culturaipsilon/noticia/morreu-escritor-critico-literario-julio-conrado-1993632
1,Manuel Pedro Ferreira Chaves,54,"Arquitecto e cenógrafo, filho do arquitecto Jorge Ferreira Chaves",https://imagens.publico.pt/imagens.aspx/1663539?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2022/01/31/culturaipsilon/noticia/morreu-arquitecto-cenografo-manuel-pedro-ferreira-chaves-1993733
1,Monica Vitti,90,Diva de Antonioni e uma actriz inteira,https://imagens.publico.pt/imagens.aspx/1664165?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2022/02/02/culturaipsilon/noticia/morreu-monica-vitti-diva-antonioni-actriz-lendaria-cinema-italiano-1993998
2,Lauro António,79,Realizador do filme <em>Manhã Submersa</em>,https://imagens.publico.pt/imagens.aspx/1664503?tp=UH&db=IMAGENS&type=JFIF&w=500&act=resize,https://www.publico.pt/2022/02/03/culturaipsilon/noticia/morreu-cineasta-lauro-antonio-1994163
2,Jason Epstein,93,Editor e co-fundador da <em>New York Review Of Books</em>,https://imagens.publico.pt/imagens.aspx/1665296?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2022/02/05/culturaipsilon/noticia/morreu-jason-epstein-editor-cofundador-new-york-review-of-books-1994432
2,Steve Schapiro,88,Um dos gigantes da fotografia do século XX,https://imagens.publico.pt/imagens.aspx/1665372?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2022/02/06/culturaipsilon/noticia/steve-schapiro-19342022-fotografo-sonhava-invisivel-1994419
2,Douglas Trumbull,79,Pioneiro dos efeitos especiais e visuais de Hollywood,https://imagens.publico.pt/imagens.aspx/1666024?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2022/02/08/culturaipsilon/noticia/morreu-douglas-trumbull-lenda-efeitos-visuais-hollywood-1994750
2,André Wilms,74,Presença regular no cinema europeu desde a década de 1980,https://imagens.publico.pt/imagens.aspx/1666452?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2022/02/10/culturaipsilon/noticia/morreu-andre-wilms-actor-kaurismaki-1994992
2,Betty Davis,77,Lenda funk que nos explicou o que é o desejo,https://imagens.publico.pt/imagens.aspx/1666551?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2022/02/10/culturaipsilon/noticia/morreu-betty-davis-lenda-funk-explicou-desejo-1995028
2,Jean-Claude Mézières,84,Autor de BD que inspirou a saga <em>Guerra das Estrelas</em>,https://imagens.publico.pt/imagens.aspx/1667173?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2022/02/13/culturaipsilon/noticia/jeanclaude-mezieres-19382022-autor-bd-inspirou-saga-guerra-estrelas-1995139
2,Ivan Reitman,75,Realizador e produtor de comédias incontornáveis,https://imagens.publico.pt/imagens.aspx/1667464?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2022/02/14/culturaipsilon/noticia/morreu-ivan-reitman-cacafantasmas-cadeira-realizador-produtor-republica-cucos-1995382
2,Artur Albarran,69,Antigo jornalista e apresentador de televisão,https://imagens.publico.pt/imagens.aspx/1667973?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2022/02/15/sociedade/noticia/morreu-jornalista-apresentador-artur-albarran-1995641
2,Gail Halvorsen,101,Soldado americano que bombardeou Berlim com doces,https://imagens.publico.pt/imagens.aspx/1668859?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2022/02/18/impar/noticia/morreu-soldado-americano-bombardeou-berlim-rebucados-durante-guerra-fria-1995998
2,Carmen Herrera,89,Uma linha recta que demorou 89 anos a chegar ao destino,https://imagens.publico.pt/imagens.aspx/1669244?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2022/02/20/culturaipsilon/noticia/carmen-herrera-19152022-linha-recta-demorou-89-anos-chegar-destino-1996126
2,François Gros,95,Biólogo francês pai do RNA mensageiro,https://imagens.publico.pt/imagens.aspx/1669375?tp=UH&db=IMAGENS&type=JFIF&w=500&act=resize,https://www.publico.pt/2022/02/20/ciencia/noticia/francois-gros-biologo-frances-pai-rna-mensageiro-morre-95-anos-1996187
2,Mark Lanegan,57,Figura emblemática do chamado grunge de Seattle,https://imagens.publico.pt/imagens.aspx/1669968?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2022/02/22/culturaipsilon/noticia/morreu-mark-lanegan-icones-grunge-1996469
2,Gary Brooker,76,Vocalista e pianista dos britânicos Procol Harum,https://imagens.publico.pt/imagens.aspx/1669955?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2022/02/22/culturaipsilon/noticia/morreu-gary-brooker-vocalista-procol-harum-1996467
2,Bappi Lahiri,69,O rei do disco de Bollywood,https://imagens.publico.pt/imagens.aspx/1670600?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2022/02/27/culturaipsilon/noticia/bappi-lahiri-19522022-rei-disco-bollywood-1996630
2,Fernando Rocha Andrade,51,Antigo deputado e secretário de Estado dos Assuntos Fiscais,https://imagens.publico.pt/imagens.aspx/1671713?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2022/02/28/politica/noticia/morreu-rocha-andrade-exgovernante-antigo-deputado-ps-1997107
3,Duvall Hecht,91,Converteu a palavra escrita em sons gravados,https://imagens.publico.pt/imagens.aspx/1673563?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2022/03/06/culturaipsilon/noticia/duvall-hecht-19302022-secas-volante-fizeram-pioneiro-audiolivros-1997558
3,Henriette Hanotte,101,Rosto de uma das linhas de libertação da II Guerra,https://imagens.publico.pt/imagens.aspx/1675138?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2022/03/13/mundo/noticia/henriette-hanotte-19202022-rosto-linhas-libertacao-ii-guerra-1998355
3,Brent Renaud,51,“Uma perda devastadora para o jornalismo”,https://imagens.publico.pt/imagens.aspx/1676042?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2022/03/13/culturaipsilon/noticia/morte-videojornalista-brent-renaud-ucrania-perda-devastadora-jornalismo-1998648
3,William Hurt,71,Actor nomeado quatro vezes para os Óscares,https://imagens.publico.pt/imagens.aspx/1676054?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2022/03/13/culturaipsilon/noticia/morreu-oscarizado-actor-william-hurt-1998672
3,Jorge Silva Melo,73,Fundador do Teatro da Cornucópia e dos Artistas Unidos,https://imagens.publico.pt/imagens.aspx/1676368?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2022/03/15/culturaipsilon/noticia/morreu-jorge-silva-melo-pais-fundadores-teatro-contemporaneo-portugues-1998797
3,Joel Hasse Ferreira,77,Antigo deputado e eurodeputado socialista,https://imagens.publico.pt/imagens.aspx/1678031?tp=UH&db=IMAGENS&type=PNG&w=500&act=resize,https://www.publico.pt/2022/03/19/politica/noticia/morreu-antigo-deputado-eurodeputado-socialista-joel-hasse-ferreira-1999394
3,Scott Hall,63,Um dos mais emblemáticos lutadores do <em>wrestling</em>,https://imagens.publico.pt/imagens.aspx/1677144?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2022/03/20/desporto/noticia/scott-hall-19582022-palito-boca-razor-ramon-1999110
3,Gastão Cruz,80,"Poeta, ensaísta, tradutor e encenador",https://imagens.publico.pt/imagens.aspx/1678289?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2022/03/20/culturaipsilon/noticia/poeta-gastao-cruz-morre-80-anos-1999481
3,Madeleine Albright,84,Antiga secretária de Estado norte-americana,https://imagens.publico.pt/imagens.aspx/1679284?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2022/03/23/mundo/noticia/madeleine-albright-exsecretaria-estado-eua-morre-84-anos-1999914
3,Gil Mendo,77,Figura fundamental da dança em Portugal,https://imagens.publico.pt/imagens.aspx/1679524?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2022/03/24/culturaipsilon/noticia/morreu-gil-mendo-figura-fundamental-danca-portugal-2000004
