name,image,description,tags,btn1Copy,btn1Link,btn2Copy,btn2Link
"Cursos 
",https://we.tl/t-AI7Nj5xMn7,"Cursos online com a qualidade e o rigor a que está habituado, sobre diversas temáticas, em parceria com prestigiadas instituições e professores.",Curso; Ensino; Academia P; Tinteiro; Escrita Humorística; Ricardo Araújo Pereira,Comprar,https://www.publico.pt/academiap/cursos,,"Oficina de Escrita Humorítica, com Ricardo Araújo Pereira - 2ª Edição | PÚBLICO"
Escola do Gosto,https://static.publico.pt/files/iniciativas/escola-gosto.png?v1,"Uma academia de educação alimentar, que permitirá conhecer e provar um vasto conjunto de produtos que fazem parte da nossa identidade gastronómica.",Curso; Gastronomia,Comprar,https://www.publico.pt/aulas/escola-do-gosto,,
Mini Concertos,https://static.publico.pt/files/iniciativas/mini-concertos.png?v1,"Showcases de artistas e bandas em directo do auditório do PÚBLICO em Lisboa, com apresentação e entrevistas pelo jornalista Nuno Pacheco.",Música; Cultura,Ver mais,https://www.publico.pt/aovivo/programa/miniconcertos,,
Encontro de Leituras,https://static.publico.pt/files/iniciativas/encontro-leituras.png?v1,O clube de leitura do PÚBLICO e da revista Quatro Cinco Um. Os jornalistas Isabel Coutinho e Paulo Werneck moderam a conversa entre escritores publicados em Portugal e no Brasil e os seus leitores.,Literatura; Cultura,Inscrever,https://www.publico.pt/encontro-leituras,,
Dia da Literacia,https://static.publico.pt/files/iniciativas/literacia.png?v1,"Um dia que junta PÚBLICO na Escola e P Superior. Uma parte do dia é dedicada à entrega dos prémios de Jornais escolares e a segunda a conferências, com parceiros P Superior e temas de ensino superior",Literatura; Concurso; Conferência,Inscrever,https://www.publico.pt/aovivo/detalhe/entrega-premios-concurso-nacional-jornais-escolares-202122-465,,
Cidade Azul,https://static.publico.pt/files/iniciativas/ciadade-azul.png?v1,Conferência anual sobre as cidades e o desafio da sustentabilidade ambiental.,Conferência; Azul; Ambiente,Ver mais,https://www.publico.pt/conferencia-cidade-azul-2024,,
Aniversário P,https://static.publico.pt/s3/files/specials/aniversario/2025/assets/recorte-aniv-35.png,"Todos os anos o PÚBLICO celebra o seu aniversário com uma edição especial, uma série editorial e uma conferência",Conferência,Ver mais,https://www.publico.pt/35anos,,
Passa o Micro,,"Conferência sobre Música, Cultura e Arte - com marca Ípsilon",Música; Conferência; Cultura,Ver mais,https://www.publico.pt/aovivo/detalhe/passa-micro-573,,
Festival P,,"Evento que celebra as várias marcas do Público, em relação com os seus leitores, cobrindo as várias áreas em que somos especialistas e envolvendo assinantes e potenciais assinantes",Literacia; Conferência; Cultura; Política; Sociedade,Ver mais,https://www.publico.pt/2021/03/03/edicoes-publico/noticia/publico-faz-31-anos-vai-festival-vai-acrescentar-futuro-1952986,,
Festival Ípsilon,https://static.publico.pt/files/iniciativas/festival-ipsilon.png?v1,"Evento que celebra e promove uma das mais fortes marcas nacionais, na área da cultura, fomentando o contacto entre jornalistas, artistas e público em geral e a relação com jovens assinantes",Cultura; Conferência,Ver mais,https://www.publico.pt/culturaipsilon,,
Conferências PSuperior,https://static.publico.pt/files/iniciativas/confs-psup.png?v1,Sessões que podem decorrer em instituições de ensino superior ou no PÚBLICO sobre temas do presente que irão impactar o futuro dos mais jovens,Conferência; Literacia,Assistir,https://www.publico.pt/psuperior/talks,,
Videocast Psuperior,https://static.publico.pt/files/iniciativas/podcast.png?v1,"Gravações que decorrem no estúdio do PÚBLICO, onde profissionais respondem a questões dos jovens para os ajudar no ingresso no mercado de trabalho",Podcast; Videocast; Literacia,Ver,https://www.publico.pt/psuperior/podcasts,,
Colecções PÚBLICO,https://static.publico.pt/files/iniciativas/loja-p-black.png?v01,"As colecções PÚBLICO são um ex-libris do panorama cultural do nosso país, sempre com o selo de qualidade do seu jornal.",Colecções Público; Arquitectura,Comprar,https://loja.publico.pt/search?type=product%2Cpage%2Carticle&options%5Bprefix%5D=last&q=arquitectura+popular+portugal,Ver mais,https://static.publico.pt/files/iniciativas/pdf/25_Abril-vol1.pdf?v01
Colecções PÚBLICO,https://static.publico.pt/files/iniciativas/loja-p-black.png?v02,"As colecções PÚBLICO são um ex-libris do panorama cultural do nosso país, sempre com o selo de qualidade do seu jornal.",Colecções Público; 25 de Abril; Fotografia,Comprar,Colecção Completa - 25 DE ABRIL: OS DIAS DA REVOLUÇÃO (10 vol) – Loja PÚBLICO,Ver mais,https://static.publico.pt/files/iniciativas/pdf/25_Abril-vol2.pdf?v01
